Time,Position-x,Position-y,Position-z,Orientation-x,Orientation-y,Orientation-w,Orientation-z
1200.49,9.096401604708692,-2.735015028987258,0.0,0.0,0.0,0.7648327626635553,0.6442288763758062
1200.591,9.096409175276415,-2.7349711280580373,0.0,0.0,0.0,0.764832790952714,0.6442288427907293
1200.692,9.096416981229936,-2.734925862164551,0.0,0.0,0.0,0.7648328133381345,0.6442288162146075
1200.794,9.096425156906928,-2.7348784520642946,0.0,0.0,0.0,0.764831503515414,0.644230371241803
1200.794,9.096425156906928,-2.7348784520642946,0.0,0.0,0.0,0.764831503515414,0.644230371241803
1200.895,9.096433211384005,-2.7348317438697882,0.0,0.0,0.0,0.7648314615523882,0.6442304210603825
1200.997,9.09644106175854,-2.73478621927584,0.0,0.0,0.0,0.7648315081776298,0.6442303657068116
1200.997,9.09644106175854,-2.73478621927584,0.0,0.0,0.0,0.7648315081776298,0.6442303657068116
1201.097,9.09644935976157,-2.734738098915069,0.0,0.0,0.0,0.7648315688964352,0.6442302936213241
1201.197,9.096457731643516,-2.734689550154801,0.0,0.0,0.0,0.764831569610749,0.6442302927732892
1201.197,9.096457731643516,-2.734689550154801,0.0,0.0,0.0,0.764831569610749,0.6442302927732892
1201.299,9.096465769058286,-2.734642940999781,0.0,0.0,0.0,0.7648315994819213,0.6442302573101686
1201.299,9.096465769058286,-2.734642940999781,0.0,0.0,0.0,0.7648315994819213,0.6442302573101686
1201.394,9.096476540492619,-2.7345804772345597,0.0,0.0,0.0,0.7648316284040249,0.644230222973781
1201.495,9.096483676328786,-2.7345390956247266,0.0,0.0,0.0,0.7648304881406117,0.6442315766947423
1201.495,9.096483676328786,-2.7345390956247266,0.0,0.0,0.0,0.7648304881406117,0.6442315766947423
1201.591,9.096490354249978,-2.734500369440408,0.0,0.0,0.0,0.7648304761471907,0.6442315909333084
1201.591,9.096490354249978,-2.734500369440408,0.0,0.0,0.0,0.7648304761471907,0.6442315909333084
1201.694,9.096498957291203,-2.7344504791733066,0.0,0.0,0.0,0.7648304340987537,0.6442316408531266
